user_id,name,screen_name,location,description,url,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type,type
3141213592,Governor Matt Bevin,GovMattBevin,"Kentucky, USA",Governor of the Commonwealth of Kentucky,https://t.co/N7GLPP5aTn,FALSE,85240,6,496,2015-04-06T17:25:20Z,1445,NA,NA,TRUE,TRUE,6211,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/776152411002048512/KGLzHoJk_normal.jpg,https://pbs.twimg.com/profile_images/776152411002048512/KGLzHoJk_normal.jpg,https://pbs.twimg.com/profile_banners/3141213592/1543262828,1DA1F2,C0DEED,DDEEF6,333333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,governor
262425225,Governor Tom Corbett,GovernorCorbett,"Harrisburg, PA","Follow for the latest from Pennsylvania Governor Tom Corbett and his administration. Together, we are building a #StrongerPA. Updated by staff.",http://t.co/ZVGRYf2ktS,FALSE,19165,333,633,2011-03-08T01:07:47Z,0,NA,NA,TRUE,TRUE,5479,en,FALSE,FALSE,FALSE,EBEBF0,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/426086795059548163/VVOAe_FB_normal.jpeg,https://pbs.twimg.com/profile_images/426086795059548163/VVOAe_FB_normal.jpeg,https://pbs.twimg.com/profile_banners/262425225/1405629886,2975E6,FFFFFF,851616,0C0A3D,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,governor
243271477,Governor Pat Quinn,GovernorQuinn,Illinois,"Official Twitter account of Illinois Governor Pat Quinn.

http://t.co/HSnnAqYuZO",http://t.co/ISE03vmStQ,FALSE,17547,675,648,2011-01-26T17:50:34Z,207,NA,NA,TRUE,TRUE,2058,en,FALSE,FALSE,FALSE,000033,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,FALSE,http://pbs.twimg.com/profile_images/1358375426/profile_normal.jpg,https://pbs.twimg.com/profile_images/1358375426/profile_normal.jpg,https://pbs.twimg.com/profile_banners/243271477/1353534694,000033,FFFFFF,95E8EC,3C3940,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,governor
237770636,Governor John Carney,JohnCarneyDE,Delaware,Official Twitter page for Governor John Carney.,https://t.co/nlJO1Rf35Z,FALSE,21828,1194,724,2011-01-13T15:58:13Z,334,NA,NA,TRUE,TRUE,3125,en,FALSE,FALSE,FALSE,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,FALSE,http://pbs.twimg.com/profile_images/818590633245876224/L0YigwdX_normal.jpg,https://pbs.twimg.com/profile_images/818590633245876224/L0YigwdX_normal.jpg,https://pbs.twimg.com/profile_banners/237770636/1491514275,0084B4,FFFFFF,C0DFEC,333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,governor
234406945,Gov. Dennis Daugaard,SDGovDaugaard,South Dakota,Gov. Dennis Daugaard is the 32nd Governor of South Dakota.,http://t.co/KkDqycg79G,FALSE,20976,585,429,2011-01-05T15:49:32Z,161,NA,NA,FALSE,TRUE,5242,en,FALSE,FALSE,FALSE,719DF4,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/1257658926/image_normal.jpg,https://pbs.twimg.com/profile_images/1257658926/image_normal.jpg,https://pbs.twimg.com/profile_banners/234406945/1412306835,0084B4,A8C7F7,C0DFEC,333333,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,governor
234141596,Governor Dan Malloy,GovMalloyOffice,"Hartford, CT",Official account of the Office of Connecticut Governor Dannel P. Malloy. Tweets are from office staff.,https://t.co/cuOd0P1LeV,FALSE,137595,910,1369,2011-01-04T23:13:19Z,1390,NA,NA,TRUE,TRUE,13491,en,FALSE,FALSE,FALSE,0A357A,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,FALSE,http://pbs.twimg.com/profile_images/871037887101513728/A1QJo13v_normal.jpg,https://pbs.twimg.com/profile_images/871037887101513728/A1QJo13v_normal.jpg,https://pbs.twimg.com/profile_banners/234141596/1534447769,429847,C6E2EE,DAECF4,663B12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,governor
232268199,Andrew Cuomo,NYGovCuomo,New York,"Father, fisherman, motorcycle enthusiast, 56th Governor of New York",https://t.co/Oazy5ahlU6,FALSE,844397,600,5085,2010-12-30T17:54:04Z,2496,NA,NA,TRUE,TRUE,25108,en,FALSE,FALSE,FALSE,0077C8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/963583273992704006/uC6KfMYp_normal.jpg,https://pbs.twimg.com/profile_images/963583273992704006/uC6KfMYp_normal.jpg,https://pbs.twimg.com/profile_banners/232268199/1538419582,0084B4,FFFFFF,DDEEF6,333333,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,governor
231854033,Peter Shumlin,GovPeterShumlin,"Putney, VT",81st Governor of Vermont. #vtforward,https://t.co/Uf5NCMS27f,FALSE,21293,1458,573,2010-12-29T17:02:05Z,40,NA,NA,TRUE,TRUE,7580,en,FALSE,FALSE,FALSE,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,FALSE,http://pbs.twimg.com/profile_images/444178996268249088/r8vBF3Wp_normal.jpeg,https://pbs.twimg.com/profile_images/444178996268249088/r8vBF3Wp_normal.jpeg,https://pbs.twimg.com/profile_banners/231854033/1370895259,0084B4,FFFFFF,C0DFEC,333333,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,governor
217416964,Governor Nathan Deal,GovernorDeal,NA,Governor Nathan Deal is the 82nd Governor of Georgia.,https://t.co/qHmRr1TtLG,FALSE,151732,311,965,2010-11-19T13:36:16Z,238,NA,NA,TRUE,TRUE,3114,en,FALSE,FALSE,FALSE,091847,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,TRUE,http://pbs.twimg.com/profile_images/829789168633049092/CL_B_uqQ_normal.jpg,https://pbs.twimg.com/profile_images/829789168633049092/CL_B_uqQ_normal.jpg,https://pbs.twimg.com/profile_banners/217416964/1489074996,384D75,000000,DDFFCC,333333,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,governor
216481299,Governor Mark Dayton,GovMarkDayton,"Saint Paul, MN","Check here for updates from the Office of Governor Mark Dayton, Minnesota's 40th Governor.",http://t.co/llBRP4V8S5,FALSE,148524,5336,1344,2010-11-16T21:08:36Z,0,NA,NA,TRUE,TRUE,4183,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/459360155067355136/h_oH_iU9_normal.jpeg,https://pbs.twimg.com/profile_images/459360155067355136/h_oH_iU9_normal.jpeg,https://pbs.twimg.com/profile_banners/216481299/1415823863,0084B4,FFFFFF,DDEEF6,333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,governor
